Producto,Descripcion,Categoria,Response
"Cable USB a micro USB, de 1,8 m","Cable USB para smartphones y tablets que permite tanto la transferencia de datos como la carga de tu batería. Tiene conectores USB macho (plug) tipo ""A"" a macho (plug) micro USB ""B"", 1,8 m de longitud y está fabricado en color negro.Se ajusta para smartphones, tablets, lectores de libros electrónicos y en general a cualquier artículo electrónico que utilice este tipo de conectores.",Otros,[]
"Cable plug a plug 6,3 mm de 7,2 m, tipo cordón","Cable de audio con conector de 6,3mm monoaural en cada extremo. Es ideal para la conexión de consolas, amplificadores, instrumentos musicales y mezcladoras. Tiene un recubrimiento de microfibra para brindar suavidad al tacto y flexibilidad al cable, además los conectores tiene acabado dorado.",Otros,[]
"Cable USB A a USB C, de 2 m","Conecta dispositivo USB C a equipos de conexión estándar USB y transfiere datos con gran velocidad, o recarga de forma rápida y segura, Con este cable, conecta dispositivos USB C a equipos de conexión estándar USB y transfiere datos con gran velocidad, o recarga de forma rápida y segura equipos como laptops o smartphones.",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""W""","Modulador fijo de Audio/Video para el canal W, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
Alexa ECHO DOT 5a Gen negra más 3 contactos Wi-Fi (ECHO DOT 5 GEN NE / SHOME-100/3),Con esta bocina con Alexa y los contactos comienza a hacer tu casa inteligente. Controla diferentes equipos con tu voz creando rutinas que harán tu vida más fácil.,Otros,[]
Apagador Wi-Fi* touch,"Iluminación inteligente para casa y oficina. Controla y programa, con tu celular, el encendido o apagado en donde quiera que estés., ¡Convierte tu casa en una Smart Home!",Otros,[]
"Amplificador de señal en línea, de 45 dB, 40-2150 MHz",Amplificador de señal en línea para satélite y MMDS. Se usa para compensar las pérdidas por atenuación en tendidos de cable largos. Frecuencia de operación: 40 a 2150 MHz. Ganancia máxima: 45 dB.,Otros,[]
"Divisor de 2 salidas verticales, 1 GHz, 5-1000 MHz, con caja soldada","Divisor (Splitter) de 1 GHz, 2 salidas verticales de 75 Ohms, con caja soldada, para señal UHF/VHF/FM y CATV de 5 a 1000 MHz, pérdida por inserción de 3,4 a 4 dB, pérdida por retorno de 20 a 24 dB, construcción interna con múltiples capacitores para mejorar la respuesta, caja de aleación de plata/zinc muy resistente a la corrosión, roscas maquinadas a precisión e incluye tornillos para montaje.",Otros,[]
"Cable telefónico modular, 4 Vías, 28 AWG, color negro",", Cable modular de 4 vias, calibre 28 AWG (7 hilos calibre 32 AWG) en color negro, para extensiones o conexiones en redes telefónicas. Se vende por metro o en rollo de 305 m.",Otros,[]
Carátula para apagador touch Wi-Fi* SHOME-212,"Dales un estilo diferente a tus apagadores touch Smart, Dales un estilo diferente a tus apagadores Wi-Fi* touch inteligentes, con esta carátula.",Otros,[]
"Acoplador direccional con 2 Taps, 30 dB de atenuación, con caja soldada","Acoplador direccional de 1 GHz con dos derivaciones (Tap) de 30 dB de atenuación. Tiene un rango de operación de 5 a 1000 MHz, para uso en interiores y exteriores, su caja es soldada y cuenta con blindaje contra interferencia electromagnética (EMI) &gt; -130 dB",Otros,[]
"Cable Ethernet UTP CAT 5e, de 3 m","Transmite voz y datos hasta a 1 000 Mbps, Este cable de red tiene 3 metros de longitud, por lo que podrás conectar a tu módem equipos como, computadoras de escritorio, laptops, Smart TV, Blu-ray o consolas de videojuegos y disfrutar de una señal de Internet más estable.",Otros,[]
"Acoplador direccional RF tipo “T” de 6dB de atenuación, 1 GHz, con caja soldada","Acoplador direccional de alto rendimiento, para señal de radiofrecuencias de TV",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""GG""","Modulador fijo de Audio/Video para el canal GG, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
Caja fuerte electrónica para documentos oficio,"Resguarda tus valores y mantenlos totalmente seguros, Resguarda documentos hasta de tamaño oficio, sin doblarlos o maltratarlos, así como pertenencias de valor, en esta caja fuerte o caja de seguridad.",Otros,[]
"Cámara de seguridad CCTV digital Full HD, para exterior, tipo mini bala, tetrahíbrida","Vigila de forma discreta cualquier espacio\xa0y obtén imágenes realmente nítidas, Con esta cámara digital para CCTV, vigila cualquier lugar de forma segura y discreta, y obtén imágenes realmente nítidas.",Otros,[]
"Modulador fijo con filtro SAW y controlador PLL, para canal ""D""","Modulador fijo de Audio/Video para el canal D, con filtro (SAW), 55 dB de ganancia, rango de frecuencia de 54 a 300 MHz, impedancia de salida de 75 Ohms y relación Audio/Video de -12 a -18 dB. Proporciona alta estabilidad, calidad de imagen y sonido. Ideal para sistemas de canales adyacentes.",Otros,[]
"Cable HDMI® reforzado, de 1,8 m","Conecta tus equipos HDMI a tu pantalla y disfruta la calidad digital de imagen y sonido, Este cable HDMI* transmite contenido de audio y video digital alta definición Ful HD 1 080p.",Otros,[]
